good
30 30
22 22 2
22 23 3
22 24 2
22 25 1
22 26 2
22 27 2
22 28 1
22 29 1
23 0 2
23 1 1
23 2 1
23 3 0
23 4 2
23 5 3
23 6 0
23 7 1
23 8 0
23 9 2
23 10 2
23 11 1
23 12 1
23 13 1
23 14 0
23 15 1
23 16 1
23 17 1
23 18 2
23 19 1
23 20 2
23 21 1
23 22 0
23 23 0
23 24 3
23 25 0
23 26 2
23 27 3
23 28 2
23 29 1
24 0 0
24 1 3
24 2 2
24 3 2
24 4 2
24 5 3
24 6 1
24 7 1
24 8 2
24 9 0
24 10 3
24 11 1
24 12 1
24 13 1
24 14 1
24 15 1
24 16 1
24 17 2
24 18 2
24 19 3
24 20 1
24 21 1
24 22 1
24 23 1
24 24 0
24 25 3
24 26 0
24 27 1
24 28 0
24 29 3
25 0 1
25 1 0
25 2 1
25 3 0
25 4 2
25 5 1
25 6 1
25 7 2
25 8 1
25 9 3
25 10 0
25 11 1
25 12 1
25 13 2
25 14 3
25 15 1
25 16 0
25 17 2
25 18 2
25 19 0
25 20 1
25 21 1
25 22 1
25 23 3
25 24 1
25 25 0
25 26 3
25 27 1
25 28 1
25 29 1
26 0 2
26 1 3
26 2 1
26 3 1
26 4 0
26 5 3
26 6 1
26 7 1
26 8 2
26 9 2
26 10 1
26 11 3
26 12 1
26 13 0
26 14 2
26 15 3
26 16 3
26 17 0
26 18 0
26 19 3
26 20 3
26 21 2
26 22 1
26 23 0
26 24 3
26 25 1
26 26 1
26 27 2
26 28 3
26 29 1
27 0 1
27 1 0
27 2 3
27 3 1
27 4 2
27 5 2
27 6 3
27 7 0
27 8 1
27 9 0
27 10 3
27 11 0
27 12 3
27 13 2
27 14 2
27 15 2
27 16 1
27 17 1
27 18 3
27 19 0
27 20 1
27 21 0
27 22 3
27 23 2
27 24 2
27 25 3
27 26 0
27 27 2
27 28 2
27 29 1
28 0 0
28 1 3
28 2 0
28 3 3
28 4 0
28 5 3
28 6 0
28 7 3
28 8 1
28 9 1
28 10 0
28 11 3
28 12 0
28 13 2
28 14 2
28 15 1
28 16 2
28 17 3
28 18 0
28 19 3
28 20 1
28 21 1
28 22 0
28 23 2
28 24 2
28 25 1
28 26 2
28 27 2
28 28 3
28 29 1
29 0 2
29 1 2
29 2 3
29 3 2
29 4 2
29 5 2
29 6 2
29 7 3
29 8 2
29 9 3
29 10 2
29 11 2
29 12 2
29 13 2
29 14 3
29 15 2
29 16 2
29 17 2
29 18 2
29 19 3
29 20 2
29 21 2
29 22 3
29 23 2
29 24 2
29 25 2
29 26 2
29 27 2
29 28 2
29 29 2
